time,u,drct,stability
2019-08-12 00:00:00,1.0288,240.0,5
2019-08-12 01:00:00,2.572,240.0,5
2019-08-12 02:00:00,2.0576,245.0,4
2019-08-12 03:00:00,1.5432,240.0,4
2019-08-12 04:00:00,2.3148,250.0,4
2019-08-12 05:00:00,1.8003999999999998,250.0,2
2019-08-12 06:00:00,1.8003999999999998,270.0,1
2019-08-12 07:00:00,2.572,275.0,2
2019-08-12 08:00:00,2.3148,280.0,2
2019-08-12 09:00:00,2.572,270.0,2
2019-08-12 10:00:00,3.0864,270.0,3
2019-08-12 11:00:00,2.8291999999999997,280.0,5
2019-08-12 12:00:00,2.3148,300.0,5
2019-08-12 13:00:00,3.0864,295.0,3
2019-08-12 14:00:00,3.6007999999999996,270.0,2
2019-08-12 15:00:00,3.8579999999999997,275.0,2
2019-08-12 16:00:00,4.1152,265.0,2
2019-08-12 17:00:00,4.6296,235.0,2
2019-08-12 18:00:00,3.6007999999999996,240.0,2
2019-08-12 19:00:00,3.3436,245.0,2
2019-08-12 20:00:00,3.8579999999999997,250.0,2
2019-08-12 21:00:00,3.3435999999999995,245.0,4
2019-08-12 22:00:00,2.8292,255.0,4
2019-08-12 23:00:00,2.8292,250.0,4
2019-08-13 00:00:00,2.8292,255.0,4
2019-08-13 01:00:00,2.572,245.0,4
2019-08-13 02:00:00,2.572,250.0,4
2019-08-13 03:00:00,2.3148,255.0,4
2019-08-13 04:00:00,2.572,260.0,4
2019-08-13 05:00:00,3.3435999999999995,245.0,4
2019-08-13 06:00:00,2.8292,250.0,4
2019-08-13 07:00:00,4.6296,250.0,2
2019-08-13 08:00:00,4.6296,260.0,2
2019-08-13 09:00:00,4.886799999999999,260.0,2
2019-08-13 10:00:00,5.6584,255.0,4
2019-08-13 11:00:00,5.401199999999999,255.0,4
2019-08-13 12:00:00,6.43,250.0,4
2019-08-13 13:00:00,3.0864,305.0,2
2019-08-13 14:00:00,5.658399999999999,260.0,4
2019-08-13 15:00:00,6.687199999999999,230.0,4
2019-08-13 16:00:00,5.9155999999999995,260.0,4
2019-08-13 17:00:00,4.8868,245.0,2
2019-08-13 18:00:00,4.8868,245.0,2
2019-08-13 19:00:00,2.0576,250.0,2
2019-08-13 20:00:00,2.572,230.0,2
2019-08-13 21:00:00,2.8292,240.0,4
2019-08-13 22:00:00,2.8292,240.0,4
2019-08-13 23:00:00,2.3148,245.0,4
2019-08-14 00:00:00,1.286,320.0,4
2019-08-14 01:00:00,1.0288,320.0,4
2019-08-14 02:00:00,1.0288,230.0,2
2019-08-14 03:00:00,0.2572,50.0,2
2019-08-14 04:00:00,0.2572,10.0,4
2019-08-14 05:00:00,1.0288,310.0,4
2019-08-14 06:00:00,0.5144,,4
