time,u,drct,stability
2020-03-02 00:00:00,5.6584,230.0,4
2020-03-02 01:00:00,4.6296,230.0,2
2020-03-02 02:00:00,6.687199999999999,230.0,4
2020-03-02 03:00:00,5.9155999999999995,235.0,4
2020-03-02 04:00:00,5.6584,230.0,4
2020-03-02 05:00:00,5.658399999999999,230.0,4
2020-03-02 06:00:00,5.401199999999999,230.0,4
2020-03-02 07:00:00,6.43,230.0,4
2020-03-02 08:00:00,6.9444,235.0,4
2020-03-02 09:00:00,7.201599999999999,230.0,4
2020-03-02 10:00:00,8.2304,235.0,4
2020-03-02 11:00:00,9.5164,235.0,4
2020-03-02 12:00:00,8.4876,240.0,4
2020-03-02 13:00:00,7.973199999999999,240.0,4
2020-03-02 14:00:00,7.201599999999999,235.0,4
2020-03-02 15:00:00,8.2304,235.0,4
2020-03-02 16:00:00,7.973199999999999,235.0,4
2020-03-02 17:00:00,7.201599999999999,230.0,4
2020-03-02 18:00:00,7.458799999999999,230.0,4
2020-03-02 19:00:00,5.401199999999999,225.0,4
2020-03-02 20:00:00,6.1728,225.0,4
2020-03-02 21:00:00,5.658399999999999,220.0,4
2020-03-02 22:00:00,5.9155999999999995,225.0,4
2020-03-02 23:00:00,5.9155999999999995,230.0,4
2020-03-03 00:00:00,6.43,220.0,4
2020-03-03 01:00:00,6.1728,220.0,4
2020-03-03 02:00:00,7.201599999999999,225.0,4
2020-03-03 03:00:00,6.43,225.0,4
2020-03-03 04:00:00,4.6296,220.0,2
2020-03-03 05:00:00,4.8868,225.0,4
2020-03-03 06:00:00,5.144,235.0,4
2020-03-03 07:00:00,4.3724,245.0,2
2020-03-03 08:00:00,4.886799999999999,240.0,2
2020-03-03 09:00:00,4.6296,250.0,2
2020-03-03 10:00:00,4.3724,265.0,2
2020-03-03 11:00:00,5.144,275.0,4
2020-03-03 12:00:00,4.6296,275.0,2
2020-03-03 13:00:00,5.401199999999999,275.0,4
2020-03-03 14:00:00,5.401199999999999,265.0,4
2020-03-03 15:00:00,4.6296,270.0,2
2020-03-03 16:00:00,5.6584,265.0,4
2020-03-03 17:00:00,4.3724,260.0,2
2020-03-03 18:00:00,4.1152,265.0,2
2020-03-03 19:00:00,3.0864,240.0,4
2020-03-03 20:00:00,3.6007999999999996,240.0,2
2020-03-03 21:00:00,2.8292,245.0,4
2020-03-03 22:00:00,3.8579999999999997,245.0,4
2020-03-03 23:00:00,2.3148,250.0,4
2020-03-04 00:00:00,1.5432000000000001,200.0,4
2020-03-04 01:00:00,1.5432,260.0,4
2020-03-04 02:00:00,1.0288,315.0,4
2020-03-04 03:00:00,0.7716,300.0,4
2020-03-04 04:00:00,0.7716,150.0,4
2020-03-04 05:00:00,0.7716,210.0,4
2020-03-04 06:00:00,0.5144,0.0,4
2020-03-04 07:00:00,1.286,,4
2020-03-04 08:00:00,0.7716,,4
2020-03-04 09:00:00,2.0576,250.0,4
2020-03-04 10:00:00,2.3148,245.0,4
2020-03-04 11:00:00,3.0864,250.0,2
2020-03-04 12:00:00,3.8579999999999997,230.0,2
2020-03-04 13:00:00,4.1152,215.0,3
2020-03-04 14:00:00,2.8292,220.0,5
2020-03-04 15:00:00,3.3436,260.0,2
2020-03-04 16:00:00,2.8292,250.0,3
2020-03-04 17:00:00,3.6007999999999996,215.0,2
2020-03-04 18:00:00,2.572,235.0,2
2020-03-04 19:00:00,3.6007999999999996,230.0,4
2020-03-04 20:00:00,1.8003999999999998,245.0,4
2020-03-04 21:00:00,1.286,200.0,4
2020-03-04 22:00:00,1.0288,290.0,4
2020-03-04 23:00:00,1.0288,220.0,4
