time,u,drct,stability
2020-10-03 00:00:00,1.0288,235,5
2020-10-03 01:00:00,2.0576,235.0,5
2020-10-03 02:00:00,2.0576,255.0,5
2020-10-03 03:00:00,1.5432,260.0,4
2020-10-03 04:00:00,1.5432,250.0,4
2020-10-03 05:00:00,2.0576,250.0,4
2020-10-03 06:00:00,1.286,225.0,4
2020-10-03 07:00:00,1.0288,280.0,1
2020-10-03 08:00:00,1.0288,250.0,1
2020-10-03 09:00:00,1.0288,280.0,4
2020-10-03 10:00:00,1.5432,250.0,2
2020-10-03 11:00:00,1.8003999999999998,245.0,2
2020-10-03 12:00:00,1.8003999999999998,260.0,5
2020-10-03 13:00:00,2.0576,265.0,5
2020-10-03 14:00:00,1.8003999999999998,260.0,5
2020-10-03 15:00:00,2.8292,270.0,4
2020-10-03 16:00:00,2.572,250.0,4
2020-10-03 17:00:00,3.0864,260.0,4
2020-10-03 18:00:00,1,260,4
2020-10-03 19:00:00,2.572,250.0,4
2020-10-03 20:00:00,1.286,,4
2020-10-03 21:00:00,2.0576,230.0,4
2020-10-03 22:00:00,1.286,130.0,5
2020-10-03 23:00:00,3.6007999999999996,90.0,4
2020-10-04 00:00:00,6.43,55.0,4
2020-10-04 01:00:00,7.715999999999999,50.0,4
2020-10-04 02:00:00,8.2304,50.0,4
2020-10-04 03:00:00,8.2304,50.0,4
2020-10-04 04:00:00,7.973199999999999,55.0,4
2020-10-04 05:00:00,4.8868,65.0,4
2020-10-04 06:00:00,4.6296,55.0,4
2020-10-04 07:00:00,4.1152,50.0,2
2020-10-04 08:00:00,4.1152,55.0,2
2020-10-04 09:00:00,4.3724,60.0,2
2020-10-04 10:00:00,4.3724,60.0,3
2020-10-04 11:00:00,4.8868,45.0,2
2020-10-04 12:00:00,5.144,45.0,4
2020-10-04 13:00:00,5.401199999999999,45.0,4
2020-10-04 14:00:00,5.144,60.0,4
2020-10-04 15:00:00,4.3724,75.0,4
2020-10-04 16:00:00,3.8579999999999997,65.0,2
2020-10-04 17:00:00,2.3148,80.0,2
2020-10-04 18:00:00,1.286,10.0,2
2020-10-04 19:00:00,0.5144,0.0,2
2020-10-04 20:00:00,0.2572,0.0,2
2020-10-04 21:00:00,1.0288,10.0,2
2020-10-04 22:00:00,0.7716,160.0,5
2020-10-04 23:00:00,1.0288,,5
2020-10-05 00:00:00,1.0288,,4
2020-10-05 01:00:00,1.5432,,2
2020-10-05 02:00:00,1.8003999999999998,330.0,5
2020-10-05 03:00:00,1.5432,,5
2020-10-05 04:00:00,2.0576,340.0,5
2020-10-05 05:00:00,2.3148,350.0,3
2020-10-05 06:00:00,1.8003999999999998,340.0,1
2020-10-05 07:00:00,1.8003999999999998,340.0,2
2020-10-05 08:00:00,2.3148,355.0,4
2020-10-05 09:00:00,2.0576,325.0,2
2020-10-05 10:00:00,1.8003999999999998,340.0,2
2020-10-05 11:00:00,1.8003999999999998,330.0,5
2020-10-05 12:00:00,2.8292,275.0,2
2020-10-05 13:00:00,2.0576,290.0,5
2020-10-05 14:00:00,2.0576,335.0,5
2020-10-05 15:00:00,1.0288,,5
2020-10-05 16:00:00,1.286,60.0,2
2020-10-05 17:00:00,0.7716,170.0,1
2020-10-05 18:00:00,1.0288,,2
2020-10-05 19:00:00,0.7716,270.0,2
2020-10-05 20:00:00,1.5432,250.0,1
2020-10-05 21:00:00,0.7716,260.0,4
2020-10-05 22:00:00,0.5144,0.0,1
2020-10-05 23:00:00,0.5144,0.0,5
2020-10-06 00:00:00,0.5,0.0,4
2020-10-06 01:00:00,0.5144,,5
2020-10-06 02:00:00,2.3148,240.0,4
2020-10-06 03:00:00,2.572,245.0,5
2020-10-06 04:00:00,2.572,250.0,5
2020-10-06 05:00:00,2.0576,260.0,4
2020-10-06 06:00:00,1.8003999999999998,255.0,3
2020-10-06 07:00:00,3.3435999999999995,250.0,2
2020-10-06 08:00:00,3.3435999999999995,250.0,2
2020-10-06 09:00:00,3.6007999999999996,245.0,2
2020-10-06 10:00:00,4.3724,260.0,2
2020-10-06 11:00:00,5.144,250.0,4
2020-10-06 12:00:00,4.8868,255.0,3
2020-10-06 13:00:00,5.401199999999999,260.0,4
2020-10-06 14:00:00,5.401199999999999,255.0,4
2020-10-06 15:00:00,5.401199999999999,250.0,4
2020-10-06 16:00:00,4.8868,250.0,2
2020-10-06 17:00:00,4.8868,245.0,3
2020-10-06 18:00:00,4.3724,255.0,2
2020-10-06 19:00:00,4.3724,250.0,2
2020-10-06 20:00:00,4.6296,245.0,4
2020-10-06 21:00:00,4.1152,245.0,4
2020-10-06 22:00:00,3.6007999999999996,245.0,4
2020-10-06 23:00:00,4.1152,250.0,2
