station,valid,tmpc,dwpc,drct,sknt,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
EGPH,2019-04-15 00:20,4.00,1.00,100.00,8.00,FEW,SCT,,3100.00,4800.00,
EGPH,2019-04-15 00:50,3.00,0.00,120.00,5.00,,,,,,
EGPH,2019-04-15 01:20,2.00,0.00,90.00,7.00,FEW,,,3600.00,,
EGPH,2019-04-15 01:50,2.00,0.00,80.00,6.00,,,,,,
EGPH,2019-04-15 02:20,2.00,0.00,90.00,5.00,,,,,,
EGPH,2019-04-15 02:50,2.00,0.00,100.00,8.00,,,,,,
EGPH,2019-04-15 03:20,2.00,0.00,110.00,7.00,,,,,,
EGPH,2019-04-15 03:50,2.00,0.00,110.00,9.00,,,,,,
EGPH,2019-04-15 04:20,2.00,-1.00,120.00,8.00,,,,,,
EGPH,2019-04-15 04:50,1.00,-2.00,70.00,5.00,,,,,,
EGPH,2019-04-15 05:20,2.00,0.00,80.00,7.00,SCT,,,2800.00,,
EGPH,2019-04-15 05:50,3.00,0.00,90.00,8.00,FEW,,,2500.00,,
EGPH,2019-04-15 06:20,4.00,0.00,90.00,8.00,SCT,,,2400.00,,
EGPH,2019-04-15 06:50,4.00,1.00,90.00,9.00,SCT,,,2500.00,,
EGPH,2019-04-15 07:20,5.00,1.00,100.00,8.00,SCT,,,2500.00,,
EGPH,2019-04-15 07:50,5.00,1.00,90.00,9.00,SCT,,,2500.00,,
EGPH,2019-04-15 08:20,7.00,2.00,100.00,10.00,SCT,,,2200.00,,
EGPH,2019-04-15 08:50,7.00,2.00,110.00,15.00,SCT,,,2300.00,,
EGPH,2019-04-15 09:20,8.00,1.00,100.00,16.00,SCT,,,2500.00,,
EGPH,2019-04-15 09:50,9.00,2.00,100.00,14.00,SCT,,,2800.00,,
EGPH,2019-04-15 10:20,10.00,2.00,100.00,14.00,SCT,,,2900.00,,
EGPH,2019-04-15 10:50,10.00,0.00,110.00,16.00,FEW,,,3600.00,,
EGPH,2019-04-15 11:20,11.00,0.00,110.00,17.00,FEW,,,4100.00,,
EGPH,2019-04-15 11:50,11.00,0.00,100.00,15.00,FEW,,,4500.00,,
EGPH,2019-04-15 12:20,11.00,0.00,100.00,18.00,,,,,,
EGPH,2019-04-15 12:50,12.00,0.00,110.00,16.00,FEW,,,4800.00,,
EGPH,2019-04-15 13:20,11.00,-1.00,110.00,17.00,FEW,,,4800.00,,
EGPH,2019-04-15 13:50,11.00,0.00,100.00,18.00,,,,,,
EGPH,2019-04-15 14:20,11.00,2.00,100.00,18.00,FEW,,,4000.00,,
EGPH,2019-04-15 14:50,11.00,2.00,100.00,17.00,FEW,,,3400.00,,
EGPH,2019-04-15 15:20,11.00,2.00,110.00,17.00,FEW,,,3400.00,,
EGPH,2019-04-15 15:50,11.00,2.00,110.00,17.00,FEW,,,3500.00,,
EGPH,2019-04-15 16:20,10.00,3.00,100.00,17.00,FEW,,,3200.00,,
EGPH,2019-04-15 16:50,10.00,3.00,100.00,17.00,FEW,,,3100.00,,
EGPH,2019-04-15 17:20,10.00,2.00,110.00,19.00,FEW,,,3000.00,,
EGPH,2019-04-15 17:50,9.00,3.00,110.00,18.00,SCT,,,2800.00,,
EGPH,2019-04-15 18:20,9.00,3.00,110.00,15.00,SCT,,,2700.00,,
EGPH,2019-04-15 18:50,9.00,3.00,120.00,13.00,SCT,,,2500.00,,
EGPH,2019-04-15 19:20,8.00,3.00,110.00,14.00,SCT,,,2300.00,,
EGPH,2019-04-15 19:50,8.00,3.00,110.00,13.00,BKN,,,2300.00,,
EGPH,2019-04-15 20:20,8.00,3.00,110.00,15.00,BKN,,,2100.00,,
EGPH,2019-04-15 20:50,8.00,4.00,100.00,12.00,BKN,,,1900.00,,
EGPH,2019-04-15 21:20,8.00,3.00,110.00,12.00,OVC,,,2000.00,,
EGPH,2019-04-15 21:50,8.00,3.00,110.00,11.00,OVC,,,2100.00,,
EGPH,2019-04-15 22:20,8.00,3.00,100.00,11.00,OVC,,,2100.00,,
EGPH,2019-04-15 22:50,7.00,3.00,90.00,9.00,OVC,,,2400.00,,
EGPH,2019-04-15 23:20,7.00,3.00,90.00,10.00,BKN,,,2500.00,,
EGPH,2019-04-15 23:50,7.00,3.00,100.00,10.00,BKN,,,2400.00,,
