station,valid,tmpc,dwpc,drct,sknt,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
EGPH,2020-08-11 00:20,14.00,14.00,60.00,5.00,OVC,,,300.00,,
EGPH,2020-08-11 00:50,14.00,14.00,60.00,6.00,BKN,,,300.00,,
EGPH,2020-08-11 01:20,14.00,14.00,70.00,5.00,OVC,,,400.00,,
EGPH,2020-08-11 01:50,14.00,14.00,70.00,6.00,OVC,,,400.00,,
EGPH,2020-08-11 02:20,14.00,14.00,60.00,5.00,OVC,,,500.00,,
EGPH,2020-08-11 02:50,14.00,14.00,70.00,5.00,OVC,,,500.00,,
EGPH,2020-08-11 03:20,14.00,14.00,80.00,4.00,OVC,,,400.00,,
EGPH,2020-08-11 03:50,14.00,14.00,60.00,4.00,BKN,OVC,FEW,300.00,4900.00,
EGPH,2020-08-11 04:20,14.00,14.00,50.00,6.00,BKN,,,400.00,,
EGPH,2020-08-11 04:50,14.00,14.00,50.00,9.00,BKN,,,200.00,,
EGPH,2020-08-11 05:20,14.00,14.00,70.00,9.00,OVC,,,200.00,,
EGPH,2020-08-11 05:50,14.00,14.00,70.00,9.00,OVC,,,200.00,,
EGPH,2020-08-11 06:20,15.00,14.00,70.00,8.00,OVC,,,300.00,,
EGPH,2020-08-11 06:50,15.00,14.00,60.00,9.00,OVC,,,300.00,,
EGPH,2020-08-11 07:20,15.00,14.00,60.00,7.00,OVC,,,300.00,,
EGPH,2020-08-11 07:50,15.00,15.00,60.00,5.00,OVC,,,300.00,,
EGPH,2020-08-11 08:20,15.00,15.00,70.00,6.00,OVC,,,300.00,,
EGPH,2020-08-11 08:50,15.00,15.00,70.00,7.00,OVC,,,200.00,,
EGPH,2020-08-11 09:20,16.00,15.00,70.00,7.00,OVC,,,100.00,,
EGPH,2020-08-11 09:50,15.00,15.00,70.00,7.00,OVC,,,200.00,,
EGPH,2020-08-11 10:20,16.00,15.00,70.00,6.00,OVC,,,200.00,,
EGPH,2020-08-11 10:50,16.00,16.00,60.00,5.00,OVC,,,200.00,,
EGPH,2020-08-11 11:20,16.00,16.00,70.00,6.00,OVC,,,200.00,,
EGPH,2020-08-11 11:50,16.00,16.00,70.00,6.00,OVC,,,200.00,,
EGPH,2020-08-11 12:20,17.00,17.00,80.00,5.00,OVC,,,400.00,,
EGPH,2020-08-11 12:50,18.00,17.00,60.00,4.00,BKN,,,500.00,,
EGPH,2020-08-11 13:20,19.00,17.00,80.00,7.00,BKN,,,600.00,,
EGPH,2020-08-11 13:50,19.00,16.00,70.00,7.00,FEW,SCT,FEW,800.00,1600.00,
EGPH,2020-08-11 14:20,19.00,16.00,80.00,7.00,FEW,,,1600.00,,
EGPH,2020-08-11 14:50,20.00,17.00,80.00,8.00,FEW,,,1600.00,,
EGPH,2020-08-11 15:20,20.00,17.00,60.00,7.00,FEW,,,1600.00,,
EGPH,2020-08-11 15:50,19.00,17.00,40.00,6.00,FEW,,,1600.00,,
EGPH,2020-08-11 16:20,17.00,16.00,30.00,6.00,FEW,,,1600.00,,
EGPH,2020-08-11 16:50,17.00,16.00,30.00,5.00,FEW,,,1800.00,,
EGPH,2020-08-11 17:20,17.00,16.00,60.00,7.00,FEW,,,1800.00,,
EGPH,2020-08-11 17:50,17.00,16.00,40.00,5.00,FEW,,,1800.00,,
EGPH,2020-08-11 18:20,17.00,16.00,40.00,5.00,FEW,SCT,,1600.00,4800.00,
EGPH,2020-08-11 18:50,16.00,15.00,40.00,5.00,FEW,,,1400.00,,
EGPH,2020-08-11 19:20,16.00,15.00,60.00,4.00,FEW,SCT,,1100.00,4500.00,
EGPH,2020-08-11 19:50,16.00,15.00,50.00,4.00,SCT,,,600.00,,
EGPH,2020-08-11 20:20,16.00,16.00,,3.00,BKN,,,800.00,,
EGPH,2020-08-11 20:50,17.00,16.00,80.00,6.00,OVC,,,600.00,,
EGPH,2020-08-11 21:20,17.00,16.00,80.00,7.00,BKN,,,400.00,,
EGPH,2020-08-11 21:50,16.00,15.00,50.00,8.00,BKN,BKN,,200.00,1000.00,
EGPH,2020-08-11 22:20,16.00,16.00,60.00,8.00,BKN,BKN,,200.00,3700.00,
EGPH,2020-08-11 22:50,16.00,16.00,100.00,6.00,BKN,,,500.00,,
EGPH,2020-08-11 23:20,16.00,16.00,100.00,6.00,BKN,,,400.00,,
EGPH,2020-08-11 23:50,16.00,16.00,100.00,7.00,OVC,,,500.00,,
EGPH,2020-08-12 00:20,16.00,16.00,90.00,6.00,OVC,,,300.00,,
EGPH,2020-08-12 00:50,16.00,16.00,50.00,4.00,OVC,,,300.00,,
EGPH,2020-08-12 01:20,16.00,16.00,20.00,5.00,OVC,,,300.00,,
EGPH,2020-08-12 01:50,15.00,15.00,60.00,7.00,OVC,,,100.00,,
EGPH,2020-08-12 02:20,15.00,15.00,,2.00,VV ,,,,,
EGPH,2020-08-12 02:50,15.00,15.00,110.00,6.00,OVC,,,100.00,,
EGPH,2020-08-12 03:20,15.00,15.00,,2.00,OVC,,,100.00,,
EGPH,2020-08-12 03:50,15.00,15.00,,3.00,BKN,,,100.00,,
EGPH,2020-08-12 04:20,15.00,15.00,90.00,7.00,BKN,BKN,,100.00,1100.00,
EGPH,2020-08-12 04:50,16.00,16.00,150.00,5.00,OVC,,,200.00,,
EGPH,2020-08-12 05:20,16.00,16.00,130.00,7.00,BKN,,,200.00,,
EGPH,2020-08-12 05:50,16.00,16.00,140.00,5.00,BKN,,,300.00,,
EGPH,2020-08-12 06:20,17.00,17.00,100.00,5.00,FEW,,,300.00,,
EGPH,2020-08-12 06:50,18.00,18.00,50.00,4.00,FEW,,,700.00,,
EGPH,2020-08-12 07:20,18.00,18.00,60.00,4.00,FEW,,,700.00,,
EGPH,2020-08-12 07:50,19.00,18.00,60.00,5.00,FEW,,,800.00,,
EGPH,2020-08-12 08:20,19.00,17.00,70.00,8.00,BKN,,,1100.00,,
EGPH,2020-08-12 08:50,19.00,17.00,30.00,6.00,BKN,,,1200.00,,
EGPH,2020-08-12 09:20,20.00,17.00,40.00,7.00,SCT,,,1300.00,,
EGPH,2020-08-12 09:50,20.00,17.00,40.00,8.00,FEW,,,1400.00,,
EGPH,2020-08-12 10:20,20.00,17.00,50.00,7.00,,,,,,
