station,valid,tmpc,dwpc,drct,sknt,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
EGPH,2020-01-26 00:20,7.00,5.00,230.00,7.00,BKN,OVC,,1800.00,3700.00,
EGPH,2020-01-26 00:50,7.00,5.00,220.00,5.00,OVC,,,2100.00,,
EGPH,2020-01-26 01:20,7.00,5.00,,2.00,OVC,,,1700.00,,
EGPH,2020-01-26 01:50,7.00,5.00,210.00,11.00,FEW,OVC,,1700.00,2800.00,
EGPH,2020-01-26 02:20,8.00,4.00,200.00,14.00,BKN,OVC,,3100.00,4400.00,
EGPH,2020-01-26 02:50,7.00,4.00,190.00,10.00,OVC,,,4300.00,,
EGPH,2020-01-26 03:20,7.00,4.00,200.00,10.00,OVC,,,4200.00,,
EGPH,2020-01-26 03:50,7.00,4.00,190.00,7.00,OVC,,,4500.00,,
EGPH,2020-01-26 04:20,8.00,5.00,180.00,10.00,,,,,,
EGPH,2020-01-26 04:50,8.00,5.00,210.00,12.00,FEW,,,2200.00,,
EGPH,2020-01-26 05:20,8.00,5.00,200.00,11.00,BKN,,,2300.00,,
EGPH,2020-01-26 05:50,8.00,5.00,200.00,8.00,BKN,BKN,,2000.00,4800.00,
EGPH,2020-01-26 06:20,8.00,5.00,200.00,12.00,BKN,,,4500.00,,
EGPH,2020-01-26 06:50,8.00,5.00,210.00,17.00,,,,,,
EGPH,2020-01-26 07:20,8.00,5.00,200.00,15.00,SCT,,,2200.00,,
EGPH,2020-01-26 07:50,9.00,6.00,200.00,15.00,BKN,,,2000.00,,
EGPH,2020-01-26 08:20,8.00,6.00,200.00,14.00,BKN,,,1800.00,,
EGPH,2020-01-26 08:50,8.00,6.00,210.00,15.00,BKN,,,2000.00,,
EGPH,2020-01-26 09:20,8.00,6.00,210.00,13.00,SCT,,,1900.00,,
EGPH,2020-01-26 09:50,8.00,7.00,210.00,14.00,FEW,,,1900.00,,
EGPH,2020-01-26 10:20,9.00,7.00,210.00,15.00,SCT,,,3800.00,,
EGPH,2020-01-26 10:50,9.00,7.00,220.00,15.00,FEW,BKN,,2500.00,4100.00,
EGPH,2020-01-26 11:20,7.00,6.00,250.00,11.00,FEW,SCT,BKN,1400.00,2600.00,4200.00
EGPH,2020-01-26 11:50,7.00,6.00,240.00,13.00,FEW,SCT,BKN,2500.00,3200.00,4600.00
EGPH,2020-01-26 12:20,7.00,5.00,260.00,8.00,FEW,BKN,,1700.00,3700.00,
EGPH,2020-01-26 12:50,7.00,5.00,250.00,8.00,FEW,SCT,,1500.00,2600.00,
EGPH,2020-01-26 13:20,7.00,4.00,250.00,10.00,SCT,,,2600.00,,
EGPH,2020-01-26 13:50,7.00,5.00,250.00,8.00,SCT,,,2200.00,,
EGPH,2020-01-26 14:20,7.00,4.00,250.00,12.00,FEW,SCT,,1000.00,2400.00,
EGPH,2020-01-26 14:50,5.00,2.00,260.00,12.00,SCT,BKN,,2100.00,3500.00,
EGPH,2020-01-26 15:20,5.00,2.00,240.00,11.00,FEW,,,3600.00,,
EGPH,2020-01-26 15:50,4.00,2.00,240.00,10.00,,,,,,
EGPH,2020-01-26 16:20,4.00,2.00,240.00,8.00,FEW,,,2200.00,,
EGPH,2020-01-26 16:50,4.00,2.00,230.00,10.00,,,,,,
EGPH,2020-01-26 17:20,4.00,2.00,220.00,8.00,,,,,,
