station,valid,tmpc,dwpc,drct,sknt,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
EGPH,2020-03-02 00:20,2.00,1.00,230.00,12.00,FEW,,,3500.00,,
EGPH,2020-03-02 00:50,2.00,1.00,230.00,10.00,FEW,,,1900.00,,
EGPH,2020-03-02 01:20,3.00,1.00,230.00,10.00,FEW,BKN,,1400.00,1900.00,
EGPH,2020-03-02 01:50,2.00,1.00,230.00,8.00,SCT,SCT,SCT,1900.00,3000.00,
EGPH,2020-03-02 02:20,2.00,1.00,230.00,12.00,SCT,BKN,,1200.00,4700.00,
EGPH,2020-03-02 02:50,2.00,1.00,230.00,14.00,,,,,,
EGPH,2020-03-02 03:20,2.00,1.00,230.00,13.00,BKN,,,1700.00,,
EGPH,2020-03-02 03:50,2.00,1.00,240.00,10.00,FEW,,,1900.00,,
EGPH,2020-03-02 04:20,2.00,1.00,240.00,10.00,,,,,,
EGPH,2020-03-02 04:50,2.00,1.00,220.00,12.00,FEW,,,4000.00,,
EGPH,2020-03-02 05:20,2.00,1.00,230.00,11.00,FEW,,,1800.00,,
EGPH,2020-03-02 05:50,2.00,1.00,230.00,11.00,,,,,,
EGPH,2020-03-02 06:20,2.00,0.00,230.00,8.00,FEW,,,1900.00,,
EGPH,2020-03-02 06:50,2.00,1.00,230.00,13.00,FEW,,,1400.00,,
EGPH,2020-03-02 07:20,2.00,1.00,230.00,13.00,FEW,,,1600.00,,
EGPH,2020-03-02 07:50,2.00,1.00,230.00,12.00,,,,,,
EGPH,2020-03-02 08:20,3.00,1.00,240.00,13.00,FEW,,,1400.00,,
EGPH,2020-03-02 08:50,3.00,1.00,230.00,14.00,FEW,,,1400.00,,
EGPH,2020-03-02 09:20,4.00,2.00,230.00,14.00,FEW,,,1700.00,,
EGPH,2020-03-02 09:50,5.00,2.00,230.00,14.00,SCT,,,1700.00,,
EGPH,2020-03-02 10:20,5.00,2.00,240.00,15.00,SCT,,,1800.00,,
EGPH,2020-03-02 10:50,5.00,2.00,230.00,17.00,SCT,,,2000.00,,
EGPH,2020-03-02 11:20,5.00,2.00,240.00,18.00,SCT,,,2000.00,,
EGPH,2020-03-02 11:50,5.00,2.00,230.00,19.00,SCT,,,1800.00,,
EGPH,2020-03-02 12:20,6.00,3.00,240.00,16.00,FEW,SCT,,700.00,1400.00,
EGPH,2020-03-02 12:50,6.00,2.00,240.00,17.00,SCT,,,2000.00,,
EGPH,2020-03-02 13:20,5.00,2.00,240.00,16.00,BKN,,,1800.00,,
EGPH,2020-03-02 13:50,6.00,3.00,240.00,15.00,SCT,,,1800.00,,
EGPH,2020-03-02 14:20,7.00,3.00,230.00,16.00,SCT,,,2100.00,,
EGPH,2020-03-02 14:50,6.00,2.00,240.00,12.00,SCT,,,1900.00,,
EGPH,2020-03-02 15:20,6.00,2.00,240.00,16.00,SCT,,,2500.00,,
EGPH,2020-03-02 15:50,6.00,2.00,230.00,16.00,SCT,,,2500.00,,
EGPH,2020-03-02 16:20,5.00,2.00,230.00,16.00,FEW,,,1000.00,,
EGPH,2020-03-02 16:50,5.00,1.00,240.00,15.00,FEW,,,1000.00,,
EGPH,2020-03-02 17:20,5.00,1.00,230.00,15.00,FEW,,,1800.00,,
EGPH,2020-03-02 17:50,4.00,1.00,230.00,13.00,FEW,,,4900.00,,
EGPH,2020-03-02 18:20,4.00,1.00,230.00,14.00,FEW,,,2000.00,,
EGPH,2020-03-02 18:50,4.00,1.00,230.00,15.00,FEW,,,2000.00,,
EGPH,2020-03-02 19:20,3.00,1.00,230.00,10.00,SCT,,,4400.00,,
EGPH,2020-03-02 19:50,3.00,1.00,220.00,11.00,FEW,,,4400.00,,
EGPH,2020-03-02 20:20,3.00,1.00,220.00,12.00,FEW,,,4400.00,,
EGPH,2020-03-02 20:50,3.00,1.00,230.00,12.00,FEW,,,3000.00,,
EGPH,2020-03-02 21:20,3.00,1.00,220.00,11.00,,,,,,
EGPH,2020-03-02 21:50,3.00,1.00,220.00,11.00,,,,,,
EGPH,2020-03-02 22:20,3.00,1.00,220.00,12.00,,,,,,
EGPH,2020-03-02 22:50,3.00,1.00,230.00,11.00,,,,,,
EGPH,2020-03-02 23:20,3.00,1.00,230.00,12.00,,,,,,
EGPH,2020-03-02 23:50,3.00,1.00,230.00,11.00,,,,,,
EGPH,2020-03-03 00:20,3.00,1.00,220.00,12.00,,,,,,
EGPH,2020-03-03 00:50,3.00,1.00,220.00,13.00,,,,,,
EGPH,2020-03-03 01:20,4.00,1.00,210.00,13.00,FEW,,,2100.00,,
EGPH,2020-03-03 01:50,3.00,1.00,230.00,11.00,SCT,,,2000.00,,
EGPH,2020-03-03 02:20,4.00,1.00,220.00,13.00,FEW,,,2000.00,,
EGPH,2020-03-03 02:50,4.00,1.00,230.00,15.00,,,,,,
