station,valid,tmpc,dwpc,drct,sknt,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
EGPH,2020-10-03 00:20,10.00,9.00,,2.00,OVC,,,1300.00,,
EGPH,2020-10-03 00:50,10.00,9.00,,2.00,OVC,,,1200.00,,
EGPH,2020-10-03 01:20,10.00,9.00,230.00,5.00,OVC,,,1200.00,,
EGPH,2020-10-03 01:50,9.00,9.00,240.00,3.00,OVC,,,1500.00,,
EGPH,2020-10-03 02:20,9.00,8.00,260.00,4.00,OVC,,,1400.00,,
EGPH,2020-10-03 02:50,9.00,8.00,250.00,4.00,OVC,,,1500.00,,
EGPH,2020-10-03 03:20,9.00,8.00,260.00,3.00,BKN,,,1700.00,,
EGPH,2020-10-03 03:50,9.00,8.00,260.00,3.00,OVC,,,2000.00,,
EGPH,2020-10-03 04:20,9.00,8.00,240.00,4.00,BKN,,,2400.00,,
EGPH,2020-10-03 04:50,9.00,8.00,260.00,2.00,BKN,,,3800.00,,
EGPH,2020-10-03 05:20,9.00,8.00,250.00,5.00,OVC,,,3900.00,,
EGPH,2020-10-03 05:50,9.00,8.00,250.00,3.00,BKN,,,3800.00,,
EGPH,2020-10-03 06:20,9.00,8.00,240.00,3.00,BKN,,,3800.00,,
EGPH,2020-10-03 06:50,9.00,8.00,210.00,2.00,BKN,,,3800.00,,
EGPH,2020-10-03 07:20,8.00,8.00,300.00,2.00,FEW,,,4300.00,,
EGPH,2020-10-03 07:50,8.00,8.00,260.00,2.00,FEW,,,4500.00,,
EGPH,2020-10-03 08:20,9.00,8.00,260.00,1.00,FEW,,,3000.00,,
EGPH,2020-10-03 08:50,9.00,8.00,240.00,3.00,BKN,,,2300.00,,
EGPH,2020-10-03 09:20,8.00,8.00,280.00,2.00,BKN,,,1700.00,,
EGPH,2020-10-03 09:50,9.00,8.00,,2.00,BKN,BKN,OVC,1400.00,2300.00,4400.00
EGPH,2020-10-03 10:20,8.00,8.00,,3.00,OVC,,,1400.00,,
EGPH,2020-10-03 10:50,9.00,8.00,250.00,3.00,FEW,OVC,,700.00,1500.00,
EGPH,2020-10-03 11:20,9.00,8.00,250.00,4.00,FEW,OVC,,600.00,1000.00,
EGPH,2020-10-03 11:50,9.00,8.00,240.00,3.00,OVC,,,500.00,,
EGPH,2020-10-03 12:20,9.00,8.00,,3.00,OVC,,,600.00,,
EGPH,2020-10-03 12:50,9.00,8.00,260.00,4.00,BKN,,,400.00,,
EGPH,2020-10-03 13:20,9.00,9.00,260.00,4.00,OVC,,,400.00,,
EGPH,2020-10-03 13:50,9.00,9.00,270.00,4.00,OVC,,,400.00,,
EGPH,2020-10-03 14:20,9.00,9.00,260.00,4.00,OVC,,,400.00,,
EGPH,2020-10-03 14:50,9.00,9.00,,3.00,BKN,,,500.00,,
EGPH,2020-10-03 15:20,9.00,9.00,280.00,5.00,BKN,,,400.00,,
EGPH,2020-10-03 15:50,9.00,9.00,260.00,6.00,OVC,,,500.00,,
EGPH,2020-10-03 16:20,9.00,9.00,260.00,5.00,OVC,,,400.00,,
EGPH,2020-10-03 16:50,9.00,9.00,240.00,5.00,BKN,,,400.00,,
EGPH,2020-10-03 17:20,9.00,9.00,260.00,6.00,OVC,,,500.00,,
EGPH,2020-10-03 17:50,9.00,9.00,260.00,6.00,OVC,,,700.00,,
EGPH,2020-10-03 19:20,9.00,9.00,240.00,5.00,OVC,,,400.00,,
EGPH,2020-10-03 19:50,9.00,9.00,260.00,5.00,BKN,,,400.00,,
EGPH,2020-10-03 20:20,9.00,9.00,,3.00,OVC,,,700.00,,
EGPH,2020-10-03 20:50,10.00,10.00,,2.00,OVC,,,600.00,,
EGPH,2020-10-03 21:20,10.00,10.00,230.00,5.00,OVC,,,400.00,,
EGPH,2020-10-03 21:50,10.00,10.00,,3.00,OVC,,,400.00,,
EGPH,2020-10-03 22:20,10.00,10.00,,3.00,OVC,,,300.00,,
EGPH,2020-10-03 22:50,10.00,10.00,130.00,2.00,OVC,,,200.00,,
EGPH,2020-10-03 23:20,10.00,10.00,120.00,2.00,OVC,,,300.00,,
EGPH,2020-10-03 23:50,13.00,13.00,60.00,12.00,OVC,,,200.00,,
EGPH,2020-10-04 00:20,13.00,13.00,60.00,12.00,OVC,,,200.00,,
EGPH,2020-10-04 00:50,13.00,13.00,50.00,13.00,OVC,,,200.00,,
EGPH,2020-10-04 01:20,13.00,13.00,50.00,14.00,OVC,,,200.00,,
EGPH,2020-10-04 01:50,13.00,13.00,50.00,16.00,OVC,,,300.00,,
EGPH,2020-10-04 02:50,13.00,13.00,50.00,16.00,OVC,,,300.00,,
EGPH,2020-10-04 03:20,13.00,13.00,50.00,16.00,OVC,,,300.00,,
EGPH,2020-10-04 03:50,13.00,13.00,50.00,16.00,OVC,,,300.00,,
EGPH,2020-10-04 04:20,13.00,13.00,50.00,16.00,OVC,,,200.00,,
EGPH,2020-10-04 04:50,13.00,13.00,60.00,15.00,OVC,,,200.00,,
EGPH,2020-10-04 05:20,13.00,13.00,70.00,10.00,OVC,,,200.00,,
EGPH,2020-10-04 05:50,13.00,13.00,60.00,9.00,OVC,,,300.00,,
EGPH,2020-10-04 06:20,13.00,13.00,60.00,8.00,OVC,,,200.00,,
EGPH,2020-10-04 06:50,13.00,13.00,50.00,10.00,OVC,,,200.00,,
EGPH,2020-10-04 07:20,13.00,13.00,60.00,9.00,BKN,,,200.00,,
EGPH,2020-10-04 07:50,12.00,12.00,40.00,7.00,FEW,OVC,,300.00,1500.00,
EGPH,2020-10-04 08:20,13.00,12.00,50.00,7.00,FEW,,,600.00,,
EGPH,2020-10-04 08:50,13.00,13.00,60.00,9.00,FEW,SCT,,400.00,1900.00,
EGPH,2020-10-04 09:20,13.00,13.00,60.00,8.00,FEW,OVC,,400.00,3000.00,
EGPH,2020-10-04 09:50,13.00,13.00,60.00,9.00,BKN,BKN,BKN,400.00,1900.00,2900.00
EGPH,2020-10-04 10:20,14.00,14.00,70.00,8.00,SCT,BKN,,400.00,1300.00,
EGPH,2020-10-04 10:50,14.00,13.00,50.00,9.00,SCT,BKN,,500.00,1700.00,
EGPH,2020-10-04 11:20,14.00,13.00,50.00,9.00,SCT,BKN,,400.00,2800.00,
EGPH,2020-10-04 11:50,14.00,13.00,40.00,10.00,FEW,OVC,,600.00,3800.00,
